rho_x,tau,prior_precision,posterior_mean_beta1,posterior_mean_beta2,posterior_corr_beta1_beta2,lambda_min_m,lambda_max_L,kappa_post,eta_ula,slow_ar_coefficient,posterior_var_beta1,posterior_var_beta2,mf_var_beta1,mf_var_beta2,mf_to_post_var_ratio_beta1,mf_to_post_var_ratio_beta2,kl_mf_to_posterior,ess_slow,ess_fast,acf_slow_lag_100,theoretical_acf_slow_lag_100
0.0,0.3,11.11111111111111,0.8645318853596708,-0.8738436028103087,8.042692031293114e-17,111.11111111111109,111.11111111111111,1.0000000000000002,0.0072,0.20000000000000018,0.009,0.009000000000000003,0.009,0.009000000000000003,1.0,1.0,0.0,33410.1065389566,33107.302426378774,-0.004254940912064539,1.267650600228342e-70
0.5,0.3,11.11111111111111,0.7709326196322981,-0.7920016317169498,-0.45,61.111111111111114,161.11111111111111,2.6363636363636362,0.004965517241379311,0.696551724137931,0.011285266457680248,0.01128526645768025,0.009,0.009,0.7975000000000001,0.7975,0.11313672216156867,9225.612381733155,32365.608570239066,-0.011766641798291913,1.9739545767334873e-16
0.9,0.3,11.11111111111111,0.41888072251885816,-0.4498133792088735,-0.8099999999999997,21.111111111111136,201.1111111111111,9.526315789473673,0.003977900552486188,0.9160220994475137,0.026170398371619618,0.026170398371619618,0.009,0.009,0.3439000000000005,0.3439000000000005,0.5337021807719573,2146.9651969878264,32149.003814233227,-0.007081321172499301,0.00015509404913168696
0.99,0.3,11.11111111111111,0.0463292099408138,-0.08170294565784841,-0.8909999999999998,12.111111111111128,210.1111111111111,17.34862385321098,0.003807509254362772,0.9538868323638285,0.0436640969537014,0.043664096953701395,0.009,0.009,0.20611900000000047,0.2061190000000005,0.7896508035383354,1276.327183145035,33437.73543889329,0.00425304601463234,0.008906055033885446
0.0,1.0,1.0,0.9510801819138294,-0.9613240955008897,8.847846019024328e-17,100.99999999999997,101.0,1.0000000000000002,0.007920792079207921,0.20000000000000018,0.009900990099009901,0.009900990099009905,0.009900990099009901,0.009900990099009905,1.0,1.0,0.0,33055.97838508043,33213.52506201809,0.0017973744874319967,1.267650600228342e-70
0.5,1.0,1.0,0.9251586094944024,-0.9476384237127577,-0.4950495049504951,51.0,151.0,2.9607843137254903,0.005298013245033113,0.7298013245033113,0.013115179846773148,0.013115179846773148,0.009900990099009901,0.009900990099009901,0.7549259876482697,0.7549259876482697,0.140567782071634,7880.68625165966,33281.586624305186,-0.025416642485781956,2.0915330049785216e-14
0.9,1.0,1.0,0.8173102691046891,-0.8498804311808541,-0.8910891089108908,11.000000000000021,190.99999999999997,17.363636363636328,0.004188481675392671,0.9539267015706805,0.04807234650166573,0.04807234650166573,0.009900990099009901,0.009900990099009901,0.2059601999803947,0.2059601999803947,0.7900361664187581,1185.5005347480264,32812.73237382363,0.0077684452653596255,0.008943356417318341
0.99,1.0,1.0,0.36907187827347016,-0.4062339528517548,-0.9801980198019801,2.0000000000000213,200.0,99.99999999999893,0.004,0.9919999999999999,0.2524999999999971,0.25249999999999706,0.009900990099009901,0.0099009900990099,0.039211841976277285,0.039211841976277285,1.6193882432872622,281.94047593315406,33624.25763888393,0.387440451601814,0.44788571940307326
0.0,10.0,0.01,0.9604949342395436,-0.9708402524306554,8.935430936120958e-17,100.00999999999998,100.01,1.0000000000000002,0.007999200079992,0.20000000000000018,0.00999900009999,0.009999000099990003,0.00999900009999,0.009999000099990003,1.0,1.0,0.0,32596.64896427738,33658.96250374516,0.003626125845917937,1.267650600228342e-70
0.5,10.0,0.01,0.9436214142848156,-0.9662495853865533,-0.4999500049995,50.010000000000005,150.01,2.9996000799840026,0.005332977801479902,0.7332977801479901,0.013331111525844952,0.013331111525844954,0.00999900009999,0.00999900009999,0.7500499925009999,0.7500499925009998,0.14380770900261908,7302.002092781108,33738.65769642729,-0.007147243455063731,3.373160681027537e-14
0.9,10.0,0.01,0.8996689158951079,-0.932408776726367,-0.8999100089990997,10.010000000000034,190.01,18.98201798201792,0.004210304720804169,0.9578548497447501,0.05258149040055237,0.05258149040055237,0.00999900009999,0.00999900009999,0.19016197570324025,0.19016197570324025,0.8299395331476389,1009.1115602123791,32952.58638225765,0.011067175003356654,0.013488704699226322
0.99,10.0,0.01,0.7489560647970925,-0.7863030067379844,-0.9899010098990099,1.0100000000000264,199.01,197.03960396039088,0.004019898497562937,0.9959399025174613,0.49756194151145877,0.49756194151145877,0.00999900009999,0.00999900009999,0.020095990600920436,0.020095990600920436,1.9536174782027205,180.3649870219808,33424.804671384976,0.6711663601047544,0.6657532280292521
