rho_x,tau,posterior_corr_beta1_beta2,lambda_min_m,lambda_max_L,kappa_post,kl_mf_to_posterior
0.0,0.3,8.042692031293114e-17,111.11111111111109,111.11111111111111,1.0000000000000002,0.0
0.5,0.3,-0.45,61.111111111111114,161.11111111111111,2.6363636363636362,0.11313672216156867
0.9,0.3,-0.8099999999999997,21.111111111111136,201.1111111111111,9.526315789473673,0.5337021807719573
0.99,0.3,-0.8909999999999998,12.111111111111128,210.1111111111111,17.34862385321098,0.7896508035383354
0.0,1.0,8.847846019024328e-17,100.99999999999997,101.0,1.0000000000000002,0.0
0.5,1.0,-0.4950495049504951,51.0,151.0,2.9607843137254903,0.140567782071634
0.9,1.0,-0.8910891089108908,11.000000000000021,190.99999999999997,17.363636363636328,0.7900361664187581
0.99,1.0,-0.9801980198019801,2.0000000000000213,200.0,99.99999999999893,1.6193882432872622
0.0,10.0,8.935430936120958e-17,100.00999999999998,100.01,1.0000000000000002,0.0
0.5,10.0,-0.4999500049995,50.010000000000005,150.01,2.9996000799840026,0.14380770900261908
0.9,10.0,-0.8999100089990997,10.010000000000034,190.01,18.98201798201792,0.8299395331476389
0.99,10.0,-0.9899010098990099,1.0100000000000264,199.01,197.03960396039088,1.9536174782027205
